Compiling 1 file (.ex)
FUNCTION                                                      CALLS  TIME (us)  PER CALL  [    %]
'Elixir.Beamicom.NES.CPU':step/2                            8296332    3263273      0.39  [11.39]
binary:at/2                                                41573488    2547485      0.06  [ 8.89]
'Elixir.Beamicom.NES.Bus':peek/2                           20198722    2416549      0.12  [ 8.43]
'Elixir.Beamicom.NES.CPU':ppu_cycles/3                     16595352    1656128      0.10  [ 5.78]
'Elixir.Beamicom.NES.PPU':run/2                            17780257    1654673      0.09  [ 5.77]
'Elixir.Beamicom.NES.CPU':tick_ppu_cycles/3                16595352    1528293      0.09  [ 5.33]
'Elixir.Beamicom.NES.CPU':resolve/3                         8296332     837310      0.10  [ 2.92]
'Elixir.Beamicom.NES.System':next_frame/3                   8296332     749916      0.09  [ 2.62]
'Elixir.Beamicom.NES.CPU':exec/5                            8296332     731891      0.09  [ 2.55]
'Elixir.Beamicom.NES.PPU':bg_cached_fast/9                  6366840     685322      0.11  [ 2.39]
'Elixir.Beamicom.NES.Bus':write/3                           2490412     676186      0.27  [ 2.36]
'Elixir.Beamicom.NES.PPU':'-sprite_buffer/1-fun-0-'/3       3924960     644388      0.16  [ 2.25]
'Elixir.Beamicom.NES.PPU':scan_oam/7                       13930800     606618      0.04  [ 2.12]
'Elixir.Beamicom.NES.PPU':tile_bytes/3                      4851198     600858      0.12  [ 2.10]
'Elixir.Beamicom.NES.Bus':flush_ticks/2                     8299020     573700      0.07  [ 2.00]
'Elixir.Beamicom.NES.APU':advance/2                          924099     546997      0.59  [ 1.91]
'Elixir.Beamicom.NES.PPU':px/4                             12921184     485487      0.04  [ 1.69]
'Elixir.Beamicom.NES.APU':adv_pulse/4                       3690876     395062      0.11  [ 1.38]
'Elixir.Beamicom.NES.PPU':bg_full/3                         4998204     366271      0.07  [ 1.28]
'Elixir.Beamicom.NES.APU':advance_counter/3                 5505664     364681      0.07  [ 1.27]
'Elixir.Beamicom.NES.PPU':overlay/5                         4039407     358381      0.09  [ 1.25]
'Elixir.Beamicom.NES.Bus':read/2                            3780170     352530      0.09  [ 1.23]
'Elixir.Beamicom.NES.CPU':decode/1                          8296332     333688      0.04  [ 1.16]
'Elixir.Beamicom.NES.CPU':post_access_nmi/3                 8296332     313613      0.04  [ 1.09]
'Elixir.Beamicom.NES.APU':advance_mmc5/3                     924099     308895      0.33  [ 1.08]
'Elixir.Beamicom.NES.CPU':load/4                            1616287     258322      0.16  [ 0.90]
'Elixir.Beamicom.NES.APU':emit_sample/1                      924099     208833      0.23  [ 0.73]
'Elixir.Enum':reduce_range/5                                2092179     201616      0.10  [ 0.70]
'Elixir.Enum':'-any?/2-fun-0-'/3                            2928028     194975      0.07  [ 0.68]
'Elixir.Enumerable.List':reduce/3                           3012844     193437      0.06  [ 0.68]
